PILLAR_GENRE,HOURS_WATCHED,CHURN_RATE,NUM_SUBS
Action/Adventure,0,0.124124,3881801
Action/Adventure,1,0.106829,4969772
Action/Adventure,2,0.094411,7559891
Action/Adventure,3,0.182491,3832827
Action/Adventure,4,0.279327,2874211
Action/Adventure,5,0.257561,1506328
Action/Adventure,6,0.251185,895758
Action/Adventure,7,0.270164,627914
Action/Adventure,8,0.299336,392124
Action/Adventure,9,0.285681,286428
Action/Adventure,10,0.321588,189445
Action/Adventure,11,0.339589,151093
Action/Adventure,12,0.359099,106872
Action/Adventure,13,0.369653,82124
Action/Adventure,14,0.385411,63535
Action/Adventure,15,0.400171,50322
Action/Adventure,16,0.396516,38554
Action/Adventure,17,0.414802,31856
Action/Adventure,18,0.417631,26489
Action/Adventure,19,0.405120,20261
Action/Adventure,20,0.427895,17109
Action/Adventure,21,0.442319,14775
Action/Adventure,22,0.432528,12308
Action/Adventure,23,0.434400,10259
Action/Adventure,24,0.447293,8830
Action/Adventure,25,0.467223,7946
Action/Adventure,26,0.459231,6844
Action/Adventure,27,0.476537,5869
Action/Adventure,28,0.470394,5256
Action/Adventure,29,0.487214,4754
Action/Adventure,30,0.495652,4108
Action/Adventure,31,0.475007,3520
Action/Adventure,32,0.496448,3219
Action/Adventure,33,0.504559,3033
Action/Adventure,34,0.512688,2530
Action/Adventure,35,0.492597,2300
Action/Adventure,36,0.500226,2051
Action/Adventure,37,0.489855,1937
Action/Adventure,38,0.497677,1814
Action/Adventure,39,0.517456,1522
Action/Adventure,40,0.509942,1455
Action/Adventure,41,0.474576,1375
Action/Adventure,42,0.483798,1227
Action/Adventure,43,0.480456,1152
Action/Adventure,44,0.536207,1096
Action/Adventure,45,0.508492,945
Action/Adventure,46,0.501611,874
Action/Adventure,47,0.458980,850
Action/Adventure,48,0.502294,802
Action/Adventure,49,0.524422,718
Action/Adventure,50,0.553191,663
Action/Adventure,51,0.519637,631
Action/Adventure,52,0.491551,619
Action/Adventure,53,0.518325,540
Action/Adventure,54,0.492806,520
Action/Adventure,55,0.489960,466
Action/Adventure,56,0.485714,432
Action/Adventure,57,0.491736,458
Action/Adventure,58,0.487437,377
Action/Adventure,59,0.523923,392
Action/Adventure,60,0.498638,346
Action/Adventure,61,0.481959,371
Action/Adventure,62,0.518293,313
Action/Adventure,63,0.530675,310
Action/Adventure,64,0.506897,274
Action/Adventure,65,0.492857,271
Action/Adventure,66,0.434307,262
Action/Adventure,67,0.471483,247
Action/Adventure,68,0.536585,229
Action/Adventure,69,0.485232,227
Action/Adventure,70,0.497512,191
Action/Adventure,71,0.440758,193
Action/Adventure,72,0.500000,207
Action/Adventure,73,0.449438,174
Action/Adventure,74,0.421348,170
Action/Adventure,75,0.464088,164
Action/Adventure,76,0.522472,166
Action/Adventure,77,0.457143,169
Action/Adventure,78,0.481013,150
Action/Adventure,79,0.474576,115
Action/Adventure,80,0.462687,127
Action/Adventure,81,0.503937,123
Action/Adventure,82,0.522124,108
Action/Adventure,83,0.496183,124
Action/Adventure,84,0.519685,119
Action/Adventure,85,0.450000,95
Action/Adventure,86,0.469388,95
Action/Adventure,87,0.471910,88
Action/Adventure,88,0.524390,80
Action/Adventure,89,0.474227,88
Action/Adventure,90,0.382716,79
Action/Adventure,91,0.458333,91
Action/Adventure,92,0.454545,83
Action/Adventure,93,0.392405,75
Action/Adventure,94,0.505618,86
Action/Adventure,95,0.478723,90
Action/Adventure,96,0.445946,68
Action/Adventure,97,0.411765,64
Action/Adventure,98,0.345679,77
Action/Adventure,99,0.418182,52
Action/Adventure,100,0.468750,31
Classics,0,0.119106,726599
Classics,1,0.106398,635578
Classics,2,0.086524,805875
Classics,3,0.283574,161726
Classics,4,0.382998,92728
Classics,5,0.373728,41427
Classics,6,0.358870,14250
Classics,7,0.442007,12379
Classics,8,0.373964,5344
Classics,9,0.401209,3892
Classics,10,0.459653,3020
Classics,11,0.478553,2888
Classics,12,0.491906,1720
Classics,13,0.515457,1353
Classics,14,0.517857,1233
Classics,15,0.496109,959
Classics,16,0.476010,731
Classics,17,0.473016,593
Classics,18,0.442966,495
Classics,19,0.417234,410
Classics,20,0.368116,331
Classics,21,0.405970,315
Classics,22,0.389068,297
Classics,23,0.331984,231
Classics,24,0.393365,196
Classics,25,0.345029,161
Classics,26,0.422330,195
Classics,27,0.375000,162
Classics,28,0.371622,136
Classics,29,0.314685,137
Classics,30,0.330645,114
Classics,31,0.291262,99
Classics,32,0.380000,95
Classics,33,0.325301,79
Classics,34,0.316456,72
Classics,35,0.333333,52
Classics,36,0.393939,60
Classics,37,0.378049,79
Classics,38,0.283582,62
Classics,39,0.270833,47
Classics,40,0.307692,47
Classics,41,0.292683,39
Classics,42,0.351852,53
Classics,43,0.416667,44
Classics,44,0.222222,27
Classics,45,0.179487,36
Classics,46,0.357143,28
Classics,47,0.270270,35
Classics,48,0.518519,26
Classics,49,0.217391,23
Classics,50,0.285714,35
Classics,51,0.187500,30
Classics,52,0.300000,20
Classics,53,0.173913,22
Classics,54,0.263158,19
Classics,55,0.173913,21
