,content_category,days_on_hbo_max,monthly_average_hours_viewed,monthly_average_hours_viewed_60d,target
0,movies,7,0.003828533951992388,0.00037452373132079784,10.222406837854187
1,movies,14,0.0018198184471698016,0.00037452373132079784,4.859020390382254
2,movies,21,0.0011705100199986091,0.00037452373132079784,3.1253293773152393
3,movies,28,0.0008935291807134506,0.00037452373132079784,2.3857745343995287
4,movies,35,0.0006543474372624926,0.00037452373132079784,1.7471454611297037
5,movies,42,0.0005176484194457622,0.00037452373132079784,1.3821511860415892
6,movies,49,0.0004514102797567417,0.00037452373132079784,1.2052915262933948
7,movies,56,0.0004137572044669706,0.00037452373132079784,1.1047556399371856
8,movies,63,0.00037452373132079784,0.00037452373132079784,1.0
9,movies,70,0.0003273165814990034,0.00037452373132079784,0.873954182675385
10,movies,77,0.00031217001210620424,0.00037452373132079784,0.833511967333294
11,movies,84,0.0003030588253090822,0.00037452373132079784,0.8091845722040442
12,movies,91,0.0002904777358596667,0.00037452373132079784,0.7755923365263557
13,movies,98,0.00024038691167016174,0.00037452373132079784,0.6418469420413272
14,movies,105,0.0002351490794473483,0.00037452373132079784,0.6278616274009394
15,movies,112,0.00022730289837702165,0.00037452373132079784,0.6069118706454562
16,movies,119,0.00021395232291194125,0.00037452373132079784,0.5712650628503982
17,movies,126,0.00019903155124072433,0.00037452373132079784,0.531425740469952
18,movies,133,0.0001984472825502605,0.00037452373132079784,0.5298657093114367
19,movies,140,0.00020626794805158217,0.00037452373132079784,0.5507473380235647
20,movies,147,0.00027593508550630266,0.00037452373132079784,0.7367626199097936
21,movies,154,0.0002260836862899173,0.00037452373132079784,0.6036565039353023
22,movies,161,0.00020974513876192153,0.00037452373132079784,0.5600316381080391
23,movies,168,0.00020143733577984642,0.00037452373132079784,0.5378493241788876
24,movies,175,0.00020025111345110496,0.00037452373132079784,0.5346820420294812
25,movies,182,0.0002106800554235534,0.00037452373132079784,0.5625279196075713
26,movies,189,0.00019629415520937626,0.00037452373132079784,0.5241167349185698
27,movies,196,0.0001990463961080754,0.00037452373132079784,0.5314653771234124
28,movies,203,0.00019673103176333297,0.00037452373132079784,0.5252832205573196
29,movies,210,0.00020906728542292134,0.00037452373132079784,0.5582217305312625
30,movies,217,0.00023884489919161233,0.00037452373132079784,0.637729679636856
31,movies,224,0.0002228303899528593,0.00037452373132079784,0.5949700147625471
32,movies,231,0.00020118301484848948,0.00037452373132079784,0.537170272599272
33,movies,238,0.00019813365530210798,0.00037452373132079784,0.5290283064396708
34,movies,245,0.0001960479801320357,0.00037452373132079784,0.5234594332397886
35,movies,252,0.000202403093267083,0.00037452373132079784,0.5404279524645526
36,movies,259,0.00020047825727434666,0.00037452373132079784,0.5352885291603251
37,movies,266,0.00020375529022005,0.00037452373132079784,0.5440383964494994
38,movies,273,0.00019747706846929297,0.00037452373132079784,0.5272751816630392
39,movies,280,0.00018423769709782604,0.00037452373132079784,0.4919252952225275
40,movies,287,0.00019271610744480683,0.00037452373132079784,0.5145631406724828
41,movies,294,0.0001938625400524195,0.00037452373132079784,0.5176241819677023
