,market,hours_viewed_bin,churn,hbo_uuid,is_cancel
1,Spain,0.14700000000000002,0.10224983210208194,5956,609
4,Spain,0.198,0.10344827586206896,5684,588
7,Spain,0.2645,0.10640934844192634,5648,601
10,Spain,0.32899999999999996,0.09732225300092336,5415,527
13,Spain,0.38549999999999995,0.10483082339135537,5113,536
16,Spain,0.4435,0.10273579491103883,5227,537
19,Spain,0.504,0.09197860962566845,5610,516
22,Spain,0.579,0.10718593830777184,5803,622
25,Spain,0.6495,0.09767077706009003,5109,499
28,Spain,0.7070000000000001,0.10707773910160782,6033,646
31,Spain,0.7605,0.10232791827164629,5971,611
34,Spain,0.8089999999999999,0.09802620666777244,6029,591
37,Spain,0.861,0.10157837162056571,6399,650
40,Spain,0.9165,0.09304796599878568,6588,613
43,Spain,0.969,0.09150619495447082,6699,613
46,Spain,1.024,0.10071396020051648,6583,663
49,Spain,1.0870000000000002,0.09744779582366589,5603,546
52,Spain,1.159,0.09378881987577639,6440,604
55,Spain,1.236,0.09467841984982044,6126,580
58,Spain,1.3170000000000002,0.09917877447883765,6332,628
61,Spain,1.4055,0.09703973405097356,6317,613
64,Spain,1.498,0.09431210500729217,6171,582
67,Spain,1.5915,0.09357097390197326,6284,588
70,Spain,1.68,0.09015817223198594,5690,513
73,Spain,1.7675,0.09681112019623876,6115,592
76,Spain,1.8624999999999998,0.09589255036701547,6403,614
79,Spain,1.9635,0.08897637795275591,6350,565
82,Spain,2.0685000000000002,0.09281961471103327,6281,583
84,Spain,2.1784999999999997,0.09540356973621861,6331,604
86,Spain,2.293,0.10001567643831322,6379,638
89,Spain,2.409,0.09447111661762428,6457,610
91,Spain,2.5255,0.09095276220976782,6245,568
93,Spain,2.648,0.08903045369794904,6436,573
95,Spain,2.7775,0.09003771213073539,6364,573
98,Spain,2.912,0.09661606578115117,6324,611
101,Spain,3.0505,0.09207984546039923,6212,572
103,Spain,3.19,0.0901413025824265,6157,555
105,Spain,3.331,0.09221713538260301,6116,564
107,Spain,3.4735,0.0867579908675799,6132,532
109,Spain,3.6189999999999998,0.08585029546946815,6092,523
