,title_series,season_number,ckg_match_id,region,tenure_grp,request_date_pst,days_since_season_premiere_date_pst,sub_count
0,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,,2022-09-06,16,0
1,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,0,2022-09-08,18,0
2,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,,2022-09-08,18,0
3,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,4-6,2022-09-08,18,0
4,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-8,2022-09-03,13,0
5,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,1,2024-06-29,13,1284
6,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,1,2023-02-12,9,0
7,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,13+,2022-08-28,7,0
8,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,6-12,2023-02-10,7,0
9,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,2,2024-06-23,7,1223
10,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,4-6,2024-06-23,7,237780
11,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,,2024-07-03,17,2
12,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,0,2024-06-21,5,456
13,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,4-6,2024-06-21,5,1384
14,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,1,2023-02-24,21,0
15,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-4,2022-09-11,21,0
16,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,0,2024-07-07,21,152
17,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,6-12,2024-07-08,22,10281
18,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,1,2022-08-25,4,0
19,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,6-12,2024-06-20,4,3112
20,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,1,2024-06-20,4,39971
21,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-4,2022-09-02,12,0
22,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,13+,2022-09-02,12,0
23,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-8,2022-09-02,12,0
24,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,,2023-02-15,12,0
25,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-7,2022-09-18,28,0
26,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,2,2022-09-11,21,0
27,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,13+,2024-07-07,21,2767323
28,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,4-6,2022-09-10,20,0
29,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,6-12,2024-07-06,20,67687
30,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-3,2022-08-31,10,0
31,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,13+,2022-08-31,10,0
32,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,1,2022-08-22,1,0
33,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,1,2022-09-09,19,0
34,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,1,2024-07-05,19,1381
35,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,2,2024-07-05,19,16149
36,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-4,2022-08-29,8,0
37,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,1,2024-06-24,8,203540
38,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,13+,2023-02-05,2,0
39,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,2,2024-06-18,2,674
40,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,4-6,2022-09-17,27,0
41,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,13+,2023-02-15,12,0
42,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,2,2024-06-28,12,12027
43,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,4-6,2024-06-28,12,821
44,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,13+,2023-02-15,3,0
45,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,6-12,2023-02-06,3,0
46,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,0,2022-08-26,5,0
47,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,2,2023-02-08,5,0
48,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,,2024-06-21,5,48
49,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,2,2024-06-21,5,466
50,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,,2024-06-30,14,197
51,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,2,2024-06-30,14,93715
52,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-6,2022-09-14,24,0
53,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,,2023-02-27,24,0
54,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,1,2023-02-22,19,0
55,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,0,2024-07-05,19,934
56,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,13+,2022-09-08,18,0
57,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,4-6,2022-09-16,26,0
58,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,1,2023-02-18,15,0
59,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,4-6,2024-07-01,15,3812
