,date_month,sub_tenure_months,user_count,hours_viewed
0,2023-03-01,23,593498,10965423.020500
1,2022-05-01,30,41224,699412.924667
2,2023-04-01,52,25918,444591.039667
3,2023-01-01,93,29537,431299.613667
4,2022-02-01,73,7852,124659.847500
5,2023-03-01,53,14044,237607.484667
6,2023-07-01,13,327212,7147379.549000
7,2022-03-01,60,12614,203324.865000
8,2024-01-01,19,257753,6160050.406333
9,2023-11-01,63,15862,315372.877167
10,2024-03-01,21,52057,160175.904000
11,2023-06-01,95,5705,95534.588500
12,2023-04-01,17,549032,9130878.398500
13,2022-12-01,19,542275,13651926.841667
14,2022-05-01,32,33002,541551.468000
15,2022-08-01,38,38418,645406.709000
16,2023-02-01,51,16890,300646.631333
17,2022-05-01,86,26702,392995.795833
18,2022-07-01,50,15102,241587.058667
19,2022-12-01,40,32783,673156.298500
20,2022-11-01,71,10973,186267.424667
21,2023-08-01,72,16913,334467.413000
22,2023-07-01,7,665665,13961178.551167
23,2022-04-01,73,20002,245414.805833
24,2022-02-01,47,19276,305553.774500
25,2024-02-01,5,510671,11661290.374333
26,2023-10-01,29,354308,9674707.852667
27,2023-11-01,61,11544,224947.607167
28,2023-06-01,86,28040,590877.848167
29,2024-02-01,84,8658,162678.976333
30,2024-03-01,9,105762,326889.383667
31,2022-05-01,-5,298,3114.407833
32,2022-03-01,-13,73,338.482833
33,2022-03-01,18,317174,5871244.458333
34,2023-05-01,33,236185,4790672.055333
35,2023-08-01,44,32964,666110.297333
36,2022-06-01,81,5896,81858.648167
37,2024-01-01,7,493099,12276783.088000
38,2022-11-01,17,488125,8414608.619833
39,2022-05-01,18,754869,11320833.871167
40,2023-01-01,40,29389,564724.401167
41,2022-07-01,56,11287,187965.673333
42,2022-07-01,33,36193,620662.303333
43,2022-01-01,44,18390,369788.845333
44,2023-01-01,79,14882,275613.085167
45,2022-12-01,85,6524,107977.360500
46,2022-05-01,77,7414,121584.855833
47,2023-07-01,71,17163,337405.917000
48,2023-06-01,94,5099,87058.264833
49,2023-12-01,29,303076,6956194.091667
50,2024-02-01,4,978007,16733069.763333
51,2023-11-01,28,298391,6650415.723000
52,2023-11-01,54,39760,717329.479500
53,2023-10-01,67,14418,255553.838667
54,2024-01-01,55,28307,623862.430667
55,2023-08-01,91,5722,97934.526167
56,2023-06-01,68,8839,172947.908500
57,2024-03-01,98,1249,3037.064333
58,2023-05-01,13,432259,7811875.512167
59,2022-02-01,0,1520986,8814306.441667
60,2023-02-01,43,31916,582699.600667
61,2022-10-01,75,12750,198362.384667
62,2024-01-01,34,503427,14362967.749667
63,2024-01-01,32,332473,10322715.656833
64,2024-03-01,57,6844,17847.458833
65,2023-09-01,96,4322,70182.791500
66,2023-04-01,9,703314,11775290.423000
67,2022-11-01,77,14646,249326.571667
68,2022-10-01,90,31505,376988.366667
69,2023-07-01,82,10084,192714.586000
70,2023-06-01,69,10186,194220.313167
71,2024-02-01,58,105485,2303367.130000
72,2022-11-01,75,10515,175385.757833
73,2023-02-01,8,474671,8851486.622333
74,2022-07-01,16,944722,18866894.132667
75,2022-03-01,13,771671,13024966.757333
76,2023-08-01,12,821378,17716109.018500
77,2022-04-01,63,12049,188549.340833
78,2022-05-01,53,12158,196281.130833
79,2023-07-01,12,601261,11324429.371667
80,2022-11-01,57,13573,236450.392667
81,2022-05-01,70,13056,211931.597333
82,2023-03-01,85,7958,127018.401333
83,2022-05-01,15,700396,11272593.262333
84,2023-03-01,16,594614,9763761.646500
85,2023-03-01,31,247086,5180434.874667
86,2023-03-01,35,191916,4041721.945500
87,2022-10-01,79,20121,232597.157167
88,2023-08-01,23,583594,12400023.678333
89,2023-09-01,1,1163205,31869795.238000
90,2022-10-01,77,21356,302331.835167
91,2022-02-01,67,13107,229983.930000
92,2023-06-01,14,372843,7778106.548167
93,2022-10-01,53,15872,252165.014333
94,2024-01-01,31,283508,6558179.865333
95,2024-01-01,16,436770,9700632.084333
96,2023-11-01,43,159936,3864919.216667
97,2023-07-01,93,5144,88582.264667
98,2022-06-01,23,212405,3975932.467333
99,2022-02-01,72,8591,150633.029000
100,2022-07-01,66,11192,164849.447000
101,2022-05-01,27,69497,1093236.754167
102,2022-12-01,20,646071,12710734.048667
103,2022-02-01,25,56647,1092449.151667
104,2022-09-01,32,50669,952894.100000
105,2023-04-01,87,7057,108776.493000
106,2023-09-01,53,108606,2212402.927667
107,2022-07-01,65,10919,169058.942500
108,2024-02-01,31,274767,6073607.487833
109,2023-10-01,8,496384,10290669.634000
110,2024-01-01,69,15051,341137.343833
111,2022-11-01,-2,279,1891.326833
112,2023-02-01,48,42654,725872.342833
113,2022-08-01,15,604796,13399669.383000
114,2022-09-01,4,741450,14005694.924500
115,2022-12-01,18,506542,9406770.240000
116,2022-12-01,17,520629,10590879.686500
117,2022-12-01,77,12332,240451.274667
118,2022-08-01,59,12119,200849.521167
119,2022-08-01,49,21977,368927.448167
120,2022-03-01,49,15719,259544.898000
121,2023-08-01,0,7888,179293.380000
122,2023-06-01,0,8210,228532.948833
123,2023-06-01,54,24480,468584.463000
124,2023-10-01,64,13471,255777.093833
125,2023-04-01,5,1014034,20214054.023500
126,2023-03-01,29,210064,4318267.283500
127,2023-03-01,91,6535,100012.460000
128,2023-09-01,52,40186,708530.537000
129,2023-10-01,35,485778,8974456.191167
130,2024-03-01,17,85714,254516.195833
131,2024-03-01,102,935,2242.420167
132,2022-10-01,9,1070132,17309614.261667
133,2023-01-01,2,1812379,42843608.641167
134,2023-01-01,10,562523,10701480.490167
135,2022-08-01,42,49441,827255.470000
136,2022-02-01,70,31566,642516.321000
137,2022-10-01,84,6572,90071.728000
138,2023-08-01,41,72391,1642551.772000
139,2023-04-01,93,7189,109491.418833
140,2022-11-01,82,7285,115675.227333
141,2022-03-01,-1,1727,17241.841167
142,2022-11-01,20,814826,17586589.535167
143,2023-04-01,2,1165436,23495151.771333
144,2022-02-01,11,1257981,26479529.866167
145,2022-01-01,58,13645,263787.129167
146,2022-05-01,23,249741,5050480.436000
147,2022-08-01,20,985600,20960112.831833
148,2022-02-01,79,8168,128534.328333
149,2022-08-01,75,20737,308039.879833
150,2023-05-01,61,17826,306275.158667
151,2022-03-01,70,21765,330501.268333
152,2023-03-01,44,33049,585823.748000
153,2023-04-01,46,33930,588521.574000
154,2022-02-01,65,11935,202060.481500
155,2023-01-01,64,11680,221827.221833
156,2023-01-01,91,9598,151649.794667
157,2023-03-01,75,11057,180432.584333
158,2023-06-01,67,8172,154315.191667
159,2023-08-01,60,17048,335278.160833
160,2024-02-01,73,10114,202624.763167
161,2023-01-01,9,572457,11748107.451000
162,2023-05-01,17,830409,14640988.882167
163,2022-04-01,14,720902,12204150.109667
164,2022-08-01,34,38344,701143.429500
165,2023-01-01,67,30746,547581.215500
166,2023-02-01,75,11234,190992.665000
167,2022-06-01,51,17562,245106.661000
168,2023-07-01,100,22387,389694.871667
169,2023-06-01,70,17568,336604.197000
170,2024-01-01,12,487129,11497893.402333
171,2023-08-01,93,5109,86673.349667
172,2022-09-01,-3,443,1376.000667
173,2022-09-01,-4,288,1129.403500
174,2022-09-01,-7,129,277.021333
175,2022-05-01,-6,374,2780.232333
176,2023-03-01,-5,4,20.065500
177,2022-09-01,-8,44,149.094000
178,2022-02-01,-17,1,0.036167
179,2024-02-01,650,7,274.000000
180,2022-09-01,-9,3,22.214833
181,2022-01-01,-19,1,1.730000
182,2022-05-01,-21,1,1.770833
183,2022-11-01,-11,1,6.850000
184,2022-04-01,37,134613,1949636.086167
185,2022-02-01,71,19996,241166.535833
186,2022-01-01,27,43738,940780.549167
187,2022-03-01,75,7734,128742.561333
188,2023-10-01,3,634196,14575260.141000
189,2023-01-01,60,13432,251508.983000
190,2022-12-01,30,217733,5134091.203000
191,2023-02-01,78,10163,169750.465333
192,2023-07-01,81,11740,208280.542167
193,2022-11-01,69,10856,181311.503333
194,2022-07-01,0,773786,4845207.210333
195,2022-05-01,62,12478,197122.792167
196,2023-04-01,84,27511,538682.981667
197,2022-09-01,-2,768,5503.621167
198,2022-12-01,-1,19382,86437.223833
199,2023-12-01,27,522049,11688586.576667
200,2023-12-01,34,365507,7914536.828167
201,2024-02-01,60,35644,709796.848833
202,2022-06-01,55,11485,186374.645167
203,2022-09-01,-6,203,595.123833
204,2022-08-01,40,147102,2649548.927500
205,2022-10-01,29,298318,7358115.185167
206,2022-03-01,4,1229424,19840493.141167
207,2023-03-01,39,38525,693563.464833
208,2023-02-01,52,13495,231352.023833
209,2022-04-01,31,32585,557181.519333
210,2023-03-01,43,31724,561372.495500
211,2023-04-01,45,31849,569575.753667
212,2023-04-01,60,17290,317530.785333
213,2022-06-01,44,14661,224090.744167
214,2023-09-01,88,16287,270332.122333
215,2024-02-01,24,291013,6047183.594000
216,2023-10-01,76,27267,500275.677500
217,2023-10-01,52,28521,529486.751500
218,2023-11-01,58,28202,572831.566000
219,2022-01-01,0,2257088,13935954.438667
220,2022-01-01,19,286038,7064253.710000
221,2022-05-01,11,670869,10443472.903833
222,2023-03-01,9,474191,8873580.635500
223,2024-01-01,38,457137,9569508.692500
224,2022-09-01,74,12665,207887.364667
225,2022-08-01,44,30132,515021.372167
226,2022-11-01,55,18167,335988.814833
227,2022-11-01,28,194244,4156025.776333
228,2023-06-01,41,40464,844396.588000
229,2023-10-01,63,16546,314046.245167
230,2024-02-01,107,21333,366406.985667
231,2022-01-01,-5,655,4931.249667
232,2022-06-01,10,895338,12353806.114167
233,2022-10-01,5,666733,11830041.410500
234,2023-07-01,41,52036,959956.496833
235,2023-10-01,7,500593,10775128.346833
236,2024-01-01,45,158223,4181551.708333
237,2023-01-01,82,20005,273992.727167
238,2023-10-01,27,309654,6807281.799667
239,2024-02-01,27,360244,6813105.458000
240,2023-12-01,50,27610,604491.404333
241,2022-01-01,66,14173,282284.731833
242,2023-03-01,92,7435,109851.788833
243,2023-10-01,74,16225,310830.146167
244,2022-08-01,58,12383,205973.399833
245,2023-02-01,82,28177,562560.109500
246,2022-02-01,38,30221,523586.853000
247,2024-01-01,33,385816,9202714.168833
248,2022-09-01,37,33958,621159.969333
249,2022-12-01,15,821298,16952475.138167
250,2023-04-01,40,37091,669723.078333
251,2022-04-01,50,15019,253146.418167
252,2023-10-01,38,195135,4547404.511333
253,2023-09-01,85,8388,149490.152167
254,2023-10-01,101,8809,150292.876000
255,2024-02-01,72,10309,202651.733667
256,2023-10-01,88,12154,223510.561167
257,2023-07-01,101,20,20.579000
258,2022-02-01,13,721745,14127559.350500
259,2022-08-01,1,2005354,43297433.061833
260,2022-06-01,19,644665,9331323.773667
261,2022-01-01,35,53467,1052213.429167
262,2022-09-01,59,12285,205546.755667
263,2023-08-01,11,613265,11981197.029667
264,2023-04-01,21,432939,8295809.060500
265,2022-07-01,40,124323,1743101.516333
266,2022-12-01,80,29555,653017.750667
267,2023-05-01,67,10724,171031.779167
268,2023-08-01,54,39103,767864.762833
269,2022-07-01,54,13260,206247.033000
270,2023-08-01,35,191429,4022116.826000
271,2023-03-01,93,9491,132667.351667
272,2022-03-01,28,43811,751583.312500
273,2022-03-01,44,22687,382745.609333
274,2023-04-01,4,966576,18276378.956000
275,2022-09-01,51,17085,287902.305500
276,2023-05-01,27,470120,8045353.058667
277,2022-06-01,31,38219,599964.990333
278,2023-06-01,49,44894,788120.766000
279,2023-04-01,74,10464,174109.448333
280,2023-02-01,39,34770,631429.253833
281,2023-07-01,16,347845,7234716.584500
282,2023-10-01,4,632788,14216932.541833
283,2022-11-01,5,598210,11354479.152000
284,2022-05-01,74,20244,248985.148167
285,2022-04-01,57,41417,720673.315500
286,2022-11-01,79,28705,557714.047167
287,2022-12-01,35,48997,1046867.845833
288,2023-09-01,90,16654,227232.367833
289,2022-08-01,8,1313149,23174698.374667
290,2022-03-01,10,784531,16511699.884167
291,2022-05-01,1,1631809,37952206.894167
292,2022-02-01,44,18056,318190.375667
293,2022-01-01,59,12860,256406.607333
294,2023-01-01,39,35669,734030.448333
295,2022-04-01,25,106096,2103559.295667
296,2022-11-01,12,693227,11330002.905667
297,2023-04-01,20,607444,9855807.594500
298,2022-06-01,86,30883,363651.843167
299,2022-07-01,60,38104,622117.652500
300,2022-08-01,70,13632,207490.175000
301,2023-09-01,41,162515,3697745.938667
302,2023-12-01,47,36731,826457.723500
303,2024-02-01,101,4433,78689.723667
304,2022-06-01,72,14873,227835.193167
305,2024-03-01,92,2320,5655.983833
306,2023-02-01,63,10650,201667.425833
307,2022-09-01,58,11757,215187.512000
308,2022-02-01,-3,1482,18904.617167
309,2022-07-01,7,1320619,22651072.568833
310,2022-07-01,19,969275,19593065.440667
311,2022-12-01,92,30364,441368.624333
312,2022-03-01,46,17198,283272.043667
313,2022-08-01,55,14161,233963.271667
314,2023-06-01,99,22573,382166.845167
315,2023-11-01,80,9499,179770.307500
316,2022-08-01,81,6675,92724.023500
317,2024-03-01,63,3753,10355.770167
318,2022-10-01,-4,189,686.316167
319,2023-01-01,6,945705,16677618.244667
320,2023-07-01,6,700074,15157776.482167
321,2023-07-01,11,847107,18201696.644833
322,2022-04-01,58,32304,500617.922833
323,2023-07-01,33,187252,4182176.170500
324,2023-01-01,78,12274,230065.101667
325,2023-03-01,88,6286,91328.190667
326,2023-06-01,33,200908,4131366.939333
327,2023-07-01,87,27767,581301.092000
328,2023-09-01,36,180949,3727790.902833
329,2023-09-01,54,99037,1648222.347500
330,2023-08-01,77,10046,189274.905667
331,2023-09-01,84,9317,167813.280333
332,2022-09-01,23,239189,4857855.057333
333,2023-02-01,57,14302,251989.426167
334,2022-08-01,16,726081,12732904.621333
335,2022-02-01,56,32941,503068.529500
336,2023-04-01,13,439412,7923209.393833
337,2022-10-01,81,7805,110911.288500
338,2023-08-01,53,107324,1890003.840167
339,2023-11-01,45,46638,870196.971833
340,2023-10-01,65,12159,231969.369333
341,2024-03-01,39,180666,525887.885333
342,2024-03-01,96,1767,4161.077000
343,2022-09-01,42,134782,1875368.567000
344,2022-08-01,7,1178655,20170702.562167
345,2022-06-01,18,1015070,19435131.612500
346,2022-01-01,55,35138,650488.136000
347,2023-02-01,19,465795,8616135.332167
