Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person
MAX-AQ-001903,GXkRjxwjR68PDwwEAABKJ,,1,1,10,manual, Rick and Morty Season 1,Adult Animation Acquired,AS,Committed,6/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Harshitha
MAX-AQ-001912,,,,,,future, Rick and Morty Season 10,Adult Animation Acquired,AS,Committed,5/17/27,,,No,Max Acquired,2027,,,11/3/23,0,Harshitha
MAX-AQ-001904,GXkRjxwjR68PDwwEAABKJ,,1,2,10,manual, Rick and Morty Season 2,Adult Animation Acquired,AS,Committed,6/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Harshitha
MAX-AQ-001905,GXkRjxwjR68PDwwEAABKJ,,1,3,10,manual, Rick and Morty Season 3,Adult Animation Acquired,AS,Committed,6/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Harshitha
MAX-AQ-001906,GXkRjxwjR68PDwwEAABKJ,,1,4,10,manual, Rick and Morty Season 4,Adult Animation Acquired,AS,Committed,11/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Harshitha
MAX-AQ-001907,GXkRjxwjR68PDwwEAABKJ,,1,5,10,manual, Rick and Morty Season 5,Adult Animation Acquired,AS,Committed,2/5/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha
MAX-AQ-001908,GXkRjxwjR68PDwwEAABKJ,,1,6,10,manual, Rick and Morty Season 6,Adult Animation Acquired,AS,Committed,5/11/23,,,No,Max Acquired,2023,,,11/3/23,0,Harshitha
MAX-AQ-001909,GXkRjxwjR68PDwwEAABKJ,,1,7,10,manual, Rick and Morty Season 7,Adult Animation Acquired,AS,Committed,5/17/24,,,No,Max Acquired,2024,,,11/3/23,0,Harshitha
MAX-AQ-001910,,,,,,future, Rick and Morty Season 8,Adult Animation Acquired,AS,Committed,5/17/25,,,No,Max Acquired,2025,,,11/3/23,0,Harshitha
MAX-AQ-001911,,,,,,future, Rick and Morty Season 9,Adult Animation Acquired,AS,Committed,5/17/26,,,No,Max Acquired,2026,,,11/3/23,0,Harshitha
