,Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person,search_title
12,HBO-OP-001046,,,,,,,Slave Play,Documentary Feature Original,,Committed,,,WCF-10020343,No,HBO OP,2024,,,11/3/23,0,Colin,Slave Play
19,MAX-AQ-001676,,,,,,,Smash! S1,Kids Content Acquired,SMASH ANIMATION LL,Committed,1/1/22,,,Yes,Max Acquired,2022,,,11/3/23,0,Colin,Smash!
20,MAX-AQ-001677,,,,,,,Smash! S2,Kids Content Acquired,SMASH ANIMATION LL,Committed,4/1/22,,,Yes,Max Acquired,2022,,,11/3/23,0,Colin,Smash!
35,MAX-AQ-001678,,,,,,,Smash! S3,Kids Content Acquired,SMASH ANIMATION LL,Committed,7/1/22,,,Yes,Max Acquired,2022,,,11/3/23,0,Colin,Smash!
37,MAX-AQ-001679,,,,,,,Smash! S4,Kids Content Acquired,SMASH ANIMATION LL,Committed,10/1/22,,,Yes,Max Acquired,2022,,,11/3/23,0,Colin,Smash!
50,MAX-AQ-007191,,,,,,,Sole Survivor,Documentary Series Acquired,CNN,Committed,5/23/23,,,No,Max Acquired,2023,,,11/3/23,0,Colin,Sole Survivor
67,MAX-OP-000980,,,,,,,Sons of Ecstasy,Documentary Feature Original,ID,Committed,,,DTC1417,No,Max OP,2024,,,11/3/23,0,Colin,Sons of Ecstasy
70,HBO-OP-001162,,,,,,,Sopranos Doc,Documentary Feature Original,,Committed,,,Sopranos Doc,No,HBO OP,2026,,,11/3/23,0,Colin,Sopranos Doc
181,MAX-AQ-007195,,,,,,,Soundtracks,Documentary Series Acquired,CNN,Committed,5/23/23,,,No,Max Acquired,2023,,,11/3/23,0,Colin,Soundtracks
248,HBO-OP-000473,,,,,,,Steve Way Special,Special Original,,Uncommitted,,,WCF-10023385,No,HBO OP,,,,11/3/23,0,Colin,Steve Way Special
277,HBO-OP-000460,,,,,,,Steven Van Zandt: Disciple,Documentary Feature Original,,Committed,,,WCF-10023284,No,HBO OP,2024,,,11/3/23,0,Colin,Steven Van
282,MAX-OP-000037,,,,,,,Storytime All-Stars: Don't Let the Pigeon Sing on Broadway! (2020),Kids Content Original,DTC,Committed,,,DTC1092,Yes,Max OP,2020,,,11/3/23,0,Colin,Storytime All-Stars
287,MAX-AQ-005743,,,,,,,Stupid Pet Tricks S1,Comedy Series Acquired,TBS,Committed,5/8/24,,,No,Max Acquired,2024,,,11/3/23,0,Colin,Stupid Pet Tricks
292,MAX-OP-000065,,,,,,,Super Intelligence,Movies Original,NEW LINE CINEMA,Committed,,,DTC1103,No,Max OP,2020,,,11/3/23,0,Colin,Super Intelligence
299,MAX-AQ-007199,,,,,,,"Super Reviewers: Rate, Review, Repeat",Documentary Series Acquired,CNN,Committed,5/23/23,,,No,Max Acquired,2023,,,11/3/23,0,Colin,Super Reviewers:
314,HBO-OP-000877,,,,,,,Superbug,Documentary Feature Original,,Committed,,,WCF-10020704,No,HBO OP,2026,,,11/3/23,0,Colin,Superbug
315,HBO-OP-001157,,,,,,,Synanon,Documentary Series Original,,Committed,,,Syanon,No,HBO OP,2024,,,11/3/23,0,Colin,Synanon
320,HBO-OP-001101,,,,,,,Syracuse Project,Documentary Feature Original,,Uncommitted,,,WCF-10024316,No,HBO OP,2026,,,11/3/23,0,Colin,Syracuse Project
339,Do not use 435,,,,,,,TALWARS (EPS 1 - 4),Movies Acquired,INTERCOMPANY,Committed,11/1/17,,,,HBO Acquired,2017,,,11/3/23,0,Colin,TALWARS
387,Do not use 1718,,,,,,,THANK YOU FOR SMOKING,Movies Acquired,FOX,Committed,8/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Colin,THANK YOU
388,Do not use 3198,,,,,,,THE BAD BATCH,Movies Acquired,NEON,Committed,10/1/27,,,,HBO Acquired,2027,,,11/3/23,0,Colin,THE BAD BATCH
399,Do not use 1608,,,,,,,THE BALLAD OF LEFTY BROWN,Movies Acquired,A24,Committed,3/1/24,,,,HBO Acquired,2024,,,11/3/23,0,Colin,THE BALLAD
400,Do not use 5773,,,,,,,THE BEGUILED,Movies Acquired,UNI,Committed,6/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Colin,THE BEGUILED
403,Do not use 3003,,,,,,,THE BIG BOSS,Movies Acquired,MIRAMAX,Committed,1/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Colin,THE BIG BOSS
419,Do not use 3183,,,,,,,THE BIGGEST LITTLE FARM,Movies Acquired,NEON,Committed,9/1/26,,,,HBO Acquired,2026,,,11/3/23,0,Colin,THE BIGGEST
455,Do not use 3046,,,,,,,THE CROW: SALVATION,Movies Acquired,MIRAMAX,Committed,3/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Colin,THE CROW 
518,Do not use 847,,,,,,,THE FANTASTIC FOUR,Movies Acquired,3RD-PARTY,Committed,11/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Colin,THE FANTASTIC FOUR
525,Do not use 2429,,,,,,,THE FORGER,Movies Acquired,LIONS GATE,Committed,3/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Colin,THE FORGER
540,Do not use 3478,,,,,,,THE GHOST AND THE DARKNESS,Movies Acquired,PARAMOUNT,Committed,3/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Colin,THE GHOST
557,Do not use 2486,,,,,,,THE GLASS CASTLE,Movies Acquired,LIONS GATE,Committed,7/1/27,,,,HBO Acquired,2027,,,11/3/23,0,Colin,THE GLASS CASTLE
599,Do not use 1676,,,,,,,THE HUSTLER,Movies Acquired,FOX,Committed,12/1/18,,,,HBO Acquired,2018,,,11/3/23,0,Colin,THE HUSTLER
607,Do not use 5258,,,,,,,THE JERK,Movies Acquired,UNI,Committed,,,,,HBO Acquired,2020,,,11/3/23,0,Colin,THE JERK
644,Do not use 1602,,,,,,,THE LAST BLACK MAN IN SAN FRANCISCO,Movies Acquired,A24,Committed,1/1/24,,,,HBO Acquired,2024,,,11/3/23,0,Colin,THE LAST
650,Do not use 1597,,,,,,,THE LOVERS,Movies Acquired,A24,Committed,12/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Colin,THE LOVERS
651,Do not use 1645,,,,,,,THE MAN WHO INVENTED CHRISTMAS,Movies Acquired,BLEECKER,Committed,6/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Colin,THE MAN
656,Do not use 1687,,,,,,,THE OBJECT OF MY AFFECTION,Movies Acquired,FOX,Committed,2/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Colin,THE OBJECT
665,Do not use 2583,,,,,,,THE PEANUT BUTTER FALCON,Movies Acquired,LIONS GATE,Committed,8/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Colin,THE PEANUT
683,Do not use 2467,,,,,,,THE PERFECT MATCH,Movies Acquired,LIONS GATE,Committed,2/1/26,,,,HBO Acquired,2026,,,11/3/23,0,Colin,THE PERFECT MATCH
728,Do not use 2925,,,,,,,THE RAGE: CARRIE 2,Movies Acquired,MGM,Committed,9/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Colin,THE RAGE
730,Do not use 4080,,,,,,,"""""A.X.L""""""""""""",Movies Acquired,OPEN ROAD,Committed,,,,,HBO Acquired,,,,11/3/23,0,Harshitha,A.X.L 
736,Do not use 664,,,,,,,"THAL�A """"""""VIVA TOUR"""""""" (EN VIVO)""""",Movies Acquired,3RD PARTY,Committed,9/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha,VIVA TOUR
771,Do not use 534,,,,,,,1000 FANGS [MIL COLMILLOS] S1 (EPS 1-8) HBO MAX P&L | HBO CASH,Movies Acquired,INTERCOMPANY,Committed,11/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Harshitha,1000 FANGS
779,MAX-AQ-003892,,,,,,,101 Places to Get F Up,Unscripted Acquired,WB,Committed,10/2/22,,,No,Max Acquired,2022,,,11/3/23,0,Harshitha,101 Places
780,Do not use 773,,,,,,,127 HOURS,Movies Acquired,3RD-PARTY,Committed,3/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Harshitha,127 HOURS
