,Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person,search_title
4948,MAX-OP-000227,,,,,,,Gordita Chronicles S1,Kids Content Original,SONY TV,Committed,,,DTC1278,No,Max OP,2022,,,11/3/23,0,Tiffany,Gordita Chronicles
4949,HBO-OP-000935,,,,,,,Gorilla and the Bird S1,Drama Series Original,,Uncommitted,,,WCF-10019901,No,HBO OP,,,,11/3/23,0,Tiffany,Gorilla and
4954,MAX-OP-000117,,,,,,,Gossip Girl S1,Drama Series Original,WBTV,Committed,,,DTC1008,No,Max OP,2021,,,11/3/23,0,Tiffany,Gossip Girl
4955,MAX-OP-000312,,,,,,,Gossip Girl S2,Drama Series Original,WBTV,Committed,,,DTC1275,No,Max OP,2022,,,11/3/23,0,Tiffany,Gossip Girl
4959,MAX-AQ-001775,,,,,,,Gotham Knights Season 1,Drama Series Acquired,WB,Committed,7/28/23,,,No,Max Acquired,2023,,,11/3/23,0,Tiffany,Gotham Knights
4960,MAX-AQ-001776,,,,,,,Gotham Knights Season 2,Drama Series Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Tiffany,Gotham Knights
4961,MAX-AQ-001777,,,,,,,Gotham Knights Season 3,Drama Series Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Tiffany,Gotham Knights
4962,MAX-AQ-001778,,,,,,,Gotham Knights Season 4,Drama Series Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Tiffany,Gotham Knights
4984,MAX-AQ-005325,,,,,,,"Great American Pastime, The",Movies Acquired,WB,Committed,7/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Great American Pastime
4985,MAX-AQ-002826,,,,,,,"Great Caruso, The",Movies Acquired,WB,Committed,7/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Tiffany,Great Caruso
