,Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person
0,MAX-OP-000227,GYnl_JQsLosPCwgEAAACs,,,,,,Gordita Chronicles S1,Kids Content Original,SONY TV,Committed,,,DTC1278,No,Max OP,2022.0,,,11/3/23,0,Tiffany
1,MAX-OP-000117,GYME4cgyGt6EnCgEAAAAv,,,,,,Gossip Girl S1,Drama Series Original,WBTV,Committed,,,DTC1008,No,Max OP,2021.0,,,11/3/23,0,Tiffany
2,MAX-OP-000312,GYME4cgyGt6EnCgEAAAAv,,,,,,Gossip Girl S2,Drama Series Original,WBTV,Committed,,,DTC1275,No,Max OP,2022.0,,,11/3/23,0,Tiffany
3,MAX-AQ-001775,GY_98Sg0MQbiWtQEAAAL3,,,,,,Gotham Knights Season 1,Drama Series Acquired,WB,Committed,7/28/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
4,MAX-AQ-001776,GY_98Sg0MQbiWtQEAAAL3,,,,,,Gotham Knights Season 2,Drama Series Acquired,WB,Committed,,,,No,Max Acquired,1900.0,,,11/3/23,0,Tiffany
5,MAX-AQ-001777,GY_98Sg0MQbiWtQEAAAL3,,,,,,Gotham Knights Season 3,Drama Series Acquired,WB,Committed,,,,No,Max Acquired,1900.0,,,11/3/23,0,Tiffany
6,MAX-AQ-001778,GY_98Sg0MQbiWtQEAAAL3,,,,,,Gotham Knights Season 4,Drama Series Acquired,WB,Committed,,,,No,Max Acquired,1900.0,,,11/3/23,0,Tiffany
7,MAX-AQ-005325,GYpaBIwMazJ_DPwEAAAAK,,,,,,"Great American Pastime, The",Movies Acquired,WB,Committed,7/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
8,MAX-AQ-002826,GYLaskw8p8rW8wwEAAAFx,,,,,,"Great Caruso, The",Movies Acquired,WB,Committed,7/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
9,MAX-AQ-006208,GYLE5fgQVVcPCOAEAAAAF,,,,,,"Great Gatsby, The",Movies Acquired,WB,Committed,2/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
10,MAX-AQ-001638,GX0gQ9AKAgr5cuAEAAAG_,,,,,,Great Pottery Throwdown Season 1-3 (S5 Fee Bump),Unscripted Acquired,LOVE PRODUCTIONS,Committed,4/14/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
11,MAX-AQ-001637,GX0gQ9AKAgr5cuAEAAAG_,,,,,,Great Pottery Throwdown Season 4,Unscripted Acquired,LOVE PRODUCTIONS,Committed,4/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
12,MAX-AQ-001639,GX0gQ9AKAgr5cuAEAAAG_,,,,,,Great Pottery Throwdown Season 5,Unscripted Acquired,LOVE PRODUCTIONS,Committed,4/14/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
13,MAX-AQ-005784,GX0gQ9AKAgr5cuAEAAAG_,,,,,,Great Pottery Throwdown Season 6,Movies Acquired,LOVE PRODUCTIONS,Uncommitted,10/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
14,MAX-AQ-001636,GX0gQ9AKAgr5cuAEAAAG_,,,,,,Great Pottery Throwdown Seasons 1-3,Unscripted Acquired,LOVE PRODUCTIONS,Committed,9/17/20,,,No,Max Acquired,2020.0,,,11/3/23,0,Tiffany
15,MAX-AQ-005326,GYd3I9A3s5ke_IgEAAAau,,,,,,"Great Race, The",Movies Acquired,WB,Committed,2/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
16,MAX-AQ-006209,GYd3I9A3s5ke_IgEAAAau,,,,,,"Great Race, The",Movies Acquired,WB,Committed,4/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
17,MAX-AQ-002827,GYS6tIgJX4sJ9qQEAAADq,,,,,,"Great Santini, The",Movies Acquired,WB,Committed,10/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
18,MAX-AQ-003366,GYblj_Q319cIZsAEAAAJx,,,,,,"Great Ziegfeld, The",Movies Acquired,WB,Committed,1/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
19,MAX-AQ-006210,GYblj_Q319cIZsAEAAAJx,,,,,,"Great Ziegfeld, The",Movies Acquired,WB,Committed,1/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
20,MAX-AQ-002828,GYS6z5wwMj7c-WgEAAACx,,,,,,"Green Berets, The",Movies Acquired,WB,Committed,10/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
21,MAX-AQ-005327,GYS6z5wwMj7c-WgEAAACx,,,,,,"Green Berets, The",Movies Acquired,WB,Committed,9/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
22,MAX-AQ-006215,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,4/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
